conference,unique_id,institutions
aaai,14477,"['University of Tokyo', 'National Institute of Informatics']"
aaai,15012,"['University of Basel', 'University of Denver']"
aaai,14500,['University of Electronic Science and Technology of China']
aaai,14305,"['Peking University', 'Shanghai Jiaotong University']"
aaai,14373,['Nanjing University']
aaai,14773,['Northeastern University']
aaai,14416,"['Samsung', 'Massachusetts Institute of Technology']"
aaai,14840,['Massachusetts Institute of Technology']
aaai,14581,['Stanford University']
aaai,14804,['University of Massachusetts Amherst']
aaai,14353,['Kyoto University']
aaai,14783,['Bar-Ilan University']
aaai,14795,['Bar-Ilan University']
aaai,14381,"['Georgia Institute of Technology', 'Virginia Tech', 'Google', 'Korea University']"
aaai,14786,"['Carnegie Mellon', 'Cornell']"
aaai,15032,"['ETH Zurich', 'Microsoft']"
aaai,14672,"['University of Science and Technology of China', 'Rensselaer Polytechnic Institute', 'University of S&T of China']"
aaai,14358,['University of Calabria']
aaai,14163,['Huazhong Univ. of Sci. and Tech.']
aaai,14807,['York University']
aaai,14725,['University of Oxford']
aaai,14365,['University of Oxford']
aaai,14881,"['Siemens', 'Free University of Bozen-Bolzano', 'University of London']"
aaai,14369,['Technische Universität Wien (TU Wien)']
aaai,14734,"['Ecole Normale Superieure', 'CNRS']"
aaai,14627,['Free University of Bozen-Bolzano']
aaai,14402,"['Sun Yat-sen University', 'Cisco Systems']"
aaai,14585,['Microsoft']
aaai,14726,['Universitat Ulm']
aaai,14357,['Technische Universität Wien (TU Wien)']
aaai,14209,['University College London']
aaai,14816,"['Stanford University', 'UC Berkeley']"
aaai,14660,['University of Liverpool']
aaai,14810,"['Australian National University', 'Data61', 'Universite Bordeaux', 'CNRS']"
aaai,14218,"['Caltech', 'University of Texas at Austin']"
aaai,14368,['CNRS']
aaai,14547,['Arizona State University']
aaai,14268,"['Fudan University', 'Facebook']"
aaai,14267,"['Fudan University', 'Facebook']"
aaai,14172,['Nanjing University']
aaai,14966,['University of Edinburgh']
aaai,14516,['University of Oxford']
aaai,14919,"['Hokkaido University', 'NTT']"
aaai,14194,[]
aaai,14193,[]
aaai,14279,['University of Notre Dame']
aaai,14524,"['Nanyang Technological University', 'A*STAR']"
aaai,14923,"['Fudan University', 'Carnegie Mellon', 'Tongji University']"
aaai,15004,['Washington University in St. Louis']
aaai,15047,['University of Oxford']
aaai,15003,['University of Wisconsin-Madison']
