author,paper_count,institution,2013,2014,2015,2016,2017,2018,2019,Notes
Han Liu,32,Tsinghua University,5,6,6,5,5,3,2
 Jie Zhou,32,<none>,1,1,5,1,5,5,14
 Andrew Zisserman,32,<none>,6,5,1,4,5,3,8
 Dahua Lin,32,<none>,3,2,1,0,7,6,13
 Vladlen Koltun,32,<none>,2,2,4,3,7,4,10
Hongyuan Zha,31,Georgia Institute of Technology,2,2,7,2,11,4,3
Qiang Liu,31,University of Texas at Austin,2,1,3,6,3,5,11
Pushmeet Kohli,31,Google,3,1,2,3,10,2,10
Cho-Jui Hsieh,31,"University of California, Los Angeles",2,3,2,2,4,6,12
Huan Xu,31,Georgia Inst. of Technology,8,7,5,2,1,2,6
 Xiaodan Liang,31,<none>,0,0,3,3,11,3,11
 Dhruv Batra,31,<none>,2,2,4,4,6,3,10
Wei Liu,30,Tencent,0,3,5,3,5,9,5
Prateek Jain,30,Microsoft,2,6,6,4,5,3,4
Eric P. Xing,30,Carnegie Mellon,4,2,3,3,4,8,6
 Deva Ramanan,30,<none>,3,4,5,1,9,0,8
 Hongdong Li,30,<none>,5,2,3,4,5,2,9
 Gang Hua,30,<none>,5,4,5,2,10,3,1
Richard Zemel,30,Vector Institute/University of Toronto,2,1,2,4,4,7,10
Josh Tenenbaum,30,Massachusetts Institute of Technology,2,0,5,4,4,10,5
 Junsong Yuan,29,<none>,1,1,2,2,8,6,9
 Martial Hebert,29,<none>,3,3,7,2,5,3,6
 Leonidas J. Guibas,29,<none>,1,1,2,1,4,5,15
 Bernard Ghanem,29,<none>,1,0,8,3,9,5,3
 Gang Wang,29,<none>,2,2,4,4,5,9,3
 Serge Belongie,29,<none>,3,1,4,2,8,8,3
 Andrea Vedaldi,29,<none>,1,3,3,3,7,5,7
Quanquan Gu,29,"University of California, Los Angeles",0,2,2,2,5,10,8
Inderjit S. Dhillon,29,University of Texas at Austin,3,8,5,6,2,0,5
Wei Chen,28,Microsoft,1,3,4,5,7,4,4
Barnabas Poczos,28,Carnegie Mellon,1,2,5,7,6,3,4
Tianbao Yang,28,The University of Iowa,2,1,1,4,8,7,5
 Ping Luo,28,<none>,3,2,8,2,3,1,9
 Christian Theobalt,28,<none>,3,1,6,1,2,6,9
 Xiaoming Liu,28,<none>,0,0,2,3,9,4,10
 Jingdong Wang,28,<none>,5,1,6,4,4,3,5
 Yu-Wing Tai,28,<none>,5,3,4,2,5,2,7
 Andreas Geiger,28,<none>,2,0,4,2,6,4,10
 William T. Freeman,28,<none>,2,2,6,2,4,5,7
 Mario Fritz,28,<none>,2,2,5,2,7,5,5
Oriol Vinyals,28,Google,1,1,3,5,4,6,8
Amin Karbasi,27,Yale,2,0,3,4,6,6,6
Aaron Courville,27,U. Montreal,3,4,0,3,9,4,4
Milind Tambe,27,University of Southern California,1,6,4,6,0,6,4
 Shih-Fu Chang,27,<none>,8,3,2,2,5,2,5
 Nicu Sebe,27,<none>,3,1,5,3,4,5,6
 Lior Wolf,27,<none>,2,2,4,3,6,2,8
Razvan Pascanu,27,Google,2,5,1,2,8,4,5
Yee Whye Teh,27,"University of Oxford, DeepMind",5,3,2,1,1,6,9
Jiashi Feng,26,National University of Singapore,2,1,0,4,7,8,4
Yann LeCun,26,<none>,7,7,4,2,4,2,0
Ji Liu,26,"University of Rochester, Tencent AI lab",1,1,1,6,2,6,9
Ping Li,26,Baidu Research USA,2,4,4,3,3,1,9
 Cewu Lu,26,<none>,2,4,5,0,2,5,8
 Ming-Ming Cheng,26,<none>,2,2,0,0,5,2,15
 Xiaoyong Shen,26,<none>,1,0,2,0,4,3,16
